Id,Movies,Rating
1,Queens_Gambit,5
1,Emily_in_Paris,1
1,Lucifer,0
1,The_Umbrella_Academy,0
1,Money_Heist,0
1,Dark_Desire,0
1,Friends,2
1,The_Crown,0
1,Ratched,0
1,Dark,0
2,Queens_Gambit,5
2,Emily_in_Paris,3
2,Lucifer,4
2,The_Umbrella_Academy,0
2,Money_Heist,4
2,Dark_Desire,3
2,Friends,3
2,The_Crown,4
2,Ratched,0
2,Dark,0
3,Queens_Gambit,5
3,Emily_in_Paris,0
3,Lucifer,4
3,The_Umbrella_Academy,3
3,Money_Heist,0
3,Dark_Desire,0
3,Friends,4
3,The_Crown,0
3,Ratched,0
3,Dark,0
4,Queens_Gambit,4
4,Emily_in_Paris,0
4,Lucifer,5
4,The_Umbrella_Academy,0
4,Money_Heist,0
4,Dark_Desire,0
4,Friends,5
4,The_Crown,0
4,Ratched,0
4,Dark,0
5,Queens_Gambit,0
5,Emily_in_Paris,0
5,Lucifer,0
5,The_Umbrella_Academy,0
5,Money_Heist,0
5,Dark_Desire,0
5,Friends,0
5,The_Crown,0
5,Ratched,0
5,Dark,0
6,Queens_Gambit,1
6,Emily_in_Paris,0
6,Lucifer,0
6,The_Umbrella_Academy,0
6,Money_Heist,0
6,Dark_Desire,0
6,Friends,1
6,The_Crown,0
6,Ratched,0
6,Dark,0
7,Queens_Gambit,0
7,Emily_in_Paris,0
7,Lucifer,0
7,The_Umbrella_Academy,0
7,Money_Heist,0
7,Dark_Desire,0
7,Friends,4
7,The_Crown,4
7,Ratched,0
7,Dark,0
8,Queens_Gambit,0
8,Emily_in_Paris,0
8,Lucifer,0
8,The_Umbrella_Academy,0
8,Money_Heist,0
8,Dark_Desire,0
8,Friends,0
8,The_Crown,0
8,Ratched,0
8,Dark,5
9,Queens_Gambit,0
9,Emily_in_Paris,3
9,Lucifer,3
9,The_Umbrella_Academy,4
9,Money_Heist,0
9,Dark_Desire,0
9,Friends,2
9,The_Crown,0
9,Ratched,4
9,Dark,0
10,Queens_Gambit,0
10,Emily_in_Paris,0
10,Lucifer,0
10,The_Umbrella_Academy,0
10,Money_Heist,0
10,Dark_Desire,0
10,Friends,2
10,The_Crown,5
10,Ratched,0
10,Dark,0
11,Queens_Gambit,2
11,Emily_in_Paris,3
11,Lucifer,4
11,The_Umbrella_Academy,0
11,Money_Heist,0
11,Dark_Desire,0
11,Friends,0
11,The_Crown,0
11,Ratched,0
11,Dark,0
12,Queens_Gambit,5
12,Emily_in_Paris,0
12,Lucifer,0
12,The_Umbrella_Academy,0
12,Money_Heist,0
12,Dark_Desire,0
12,Friends,5
12,The_Crown,0
12,Ratched,0
12,Dark,4
